plate	media	time	Variable	condition	strainID	species	replicate	OD_adjusted
P1	WCA	23	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.123
P1	WCA	23	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.123
P1	WCA	23	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.223
P1	WCA	23	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.326
P1	WCA	23	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.31
P1	WCA	23	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.01
P1	WCA	23	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.234
P1	WCA	23	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.495
P1	WCA	23	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.314
P1	WCA	24	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.059
P1	WCA	24	A8	without_mucin	DSM13479	Hungatella hathewayi	1	0.332
P1	WCA	24	B3	without_mucin	DSM26961	Eisenbergiella tayi	2	0.136
P1	WCA	24	B8	without_mucin	DSM13479	Hungatella hathewayi	2	0.214
P1	WCA	24	C3	without_mucin	DSM26961	Eisenbergiella tayi	3	0.199
P1	WCA	24	C8	without_mucin	DSM13479	Hungatella hathewayi	3	0.302
P1	WCA	24	E3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	1	0.583
P1	WCA	24	E6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	1	0.363
P1	WCA	24	F3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	2	0.308
P1	WCA	24	F6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	2	0.275
P1	WCA	24	G3	with_mucin_III_0.5%	DSM26961	Eisenbergiella tayi	3	0.453
P1	WCA	24	G6	with_mucin_III_0.5%	DSM13479	Hungatella hathewayi	3	0.344
P1	WCA	25	A3	without_mucin	DSM26961	Eisenbergiella tayi	1	0.073
