sampleID	genus	relAb	Income status
ERR2619715	g__Bacteroides	0.01685167848067405	LMIS
ERR2619716	g__Bacteroides	0.019557714431803642	LMIS
ERR2619717	g__Bacteroides	7.172743574417215e-4	LMIS
ERR2619718	g__Bacteroides	7.626795474768018e-4	LMIS
ERR2619719	g__Bacteroides	0.10785241248817405	LMIS
ERR2619720	g__Bacteroides	0.005252713902182781	LMIS
ERR2619721	g__Bacteroides	0.005679335954565308	LMIS
ERR2619722	g__Bacteroides	0.004642166344293999	LMIS
ERR2619723	g__Bacteroides	0.0032137118371719257	LMIS
ERR2619724	g__Bacteroides	0.0044390637610976485	LMIS
ERR2619725	g__Bacteroides	0.008378122036041718	LMIS
ERR2619726	g__Bacteroides	0.0032562683165092724	LMIS
ERR2619727	g__Bacteroides	0.018690634255949325	LMIS
ERR2619728	g__Bacteroides	0.007018951168154003	LMIS
ERR2619729	g__Bacteroides	0.013723995207493714	LMIS
ERR2619730	g__Bacteroides	0.03927055191045928	LMIS
ERR2619731	g__Bacteroides	0.001866621415238418	LMIS
ERR2619732	g__Bacteroides	0.010107816711590282	LMIS
ERR2619733	g__Bacteroides	0.005472130313056751	LMIS
ERR2619734	g__Bacteroides	0.010930110352075664	LMIS
ERR2619735	g__Bacteroides	0.03966208476517754	LMIS
ERR2619736	g__Bacteroides	0.009755562863093271	LMIS
ERR2619737	g__Bacteroides	0.012104689203925826	LMIS
ERR2619738	g__Bacteroides	0.018234442836468866	LMIS
ERR2619739	g__Bacteroides	0.012551395801774508	LMIS
ERR2619740	g__Bacteroides	0.0015605841043361945	LMIS
ERR2619741	g__Bacteroides	0.00471243440077112	LMIS
ERR2619742	g__Bacteroides	8.574858514834505e-4	LMIS
